Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2019-10-01 18:41:02,false,"Cambridge Running","14.12","1,143","01:39:52","156","175","4.4","166","229","7:05","3:52","87","87","1.35","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:06.85","38","0.0","01:34:11","02:13:54","10","52"
Running,2019-09-30 07:01:45,false,"Cambridge Running","9.15","807","01:04:39","157","183","4.6","167","178","7:04","6:06","110","105","1.37","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:59.24","10","0.0","01:04:31","01:08:33","3","62"
Running,2019-09-29 16:10:55,false,"Cambridge Running","16.10","1,345","01:47:42","160","184","5.0","167","178","6:41","5:27","201","196","1.45","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:40.97","17","0.0","01:47:27","01:55:04","--","78"
Running,2019-09-29 09:07:19,false,"Turner Running","0.10","6","00:00:47.2","125","144","1.0","167","176","7:48","5:53","--","--","1.24","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","1","0.0","00:00:47","00:00:47.2","417","421"
Running,2019-09-28 06:57:15,false,"Cambridge Running","8.29","743","00:57:30","160","189","4.7","166","174","6:56","5:57","64","68","1.40","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:57.74","9","0.0","00:57:25","00:59:56","3","62"
Running,2019-09-27 16:28:42,false,"Newton Running","4.17","325","00:29:10","143","160","3.0","166","192","7:00","4:40","266","276","1.38","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:33.60","17","0.0","00:29:00","00:34:39","104","220"
Running,2019-09-27 06:44:46,false,"Cambridge Running","9.01","582","00:54:27","142","167","3.1","168","186","6:03","4:16","92","89","1.58","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:15.61","16","0.0","00:54:18","01:09:01","10","43"
Running,2019-09-26 06:21:46,false,"Cambridge Running","10.02","666","01:12:41","139","159","3.2","165","177","7:15","6:18","107","104","1.34","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:07.93","11","0.0","01:12:35","01:30:10","4","69"
Running,2019-09-25 17:38:28,false,"Lexington Running","8.03","701","00:55:33","160","178","4.5","165","174","6:55","6:04","207","215","1.41","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:11.81","9","0.0","00:55:31","00:55:33","131","226"
Running,2019-09-25 06:59:03,false,"Cambridge Running","4.12","353","00:29:42","151","171","3.2","168","178","7:13","6:05","74","69","1.33","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:52.88","5","0.0","00:29:39","00:30:49","7","76"
Running,2019-09-24 18:32:53,false,"Cambridge Running","13.44","930","01:30:39","143","174","3.5","166","248","6:45","3:10","94","91","1.42","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:14.04","32","0.0","01:28:47","02:23:34","10","52"
Running,2019-09-23 17:12:38,false,"Needham Running","9.02","795","01:06:20","153","179","4.2","164","178","7:21","6:09","156","143","1.33","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:07.06","10","0.0","01:06:08","01:12:39","73","127"
Running,2019-09-22 09:54:01,false,"Gloucester Running","4.78","460","00:37:56","148","162","3.2","166","176","7:56","7:10","96","91","1.22","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","06:05.82","5","0.0","00:37:50","00:38:20","7","77"
Running,2019-09-22 09:00:56,false,"Gloucester Running","6.27","429","00:32:40","167","178","3.9","175","211","5:13","4:11","88","86","1.76","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:21.68","7","0.0","00:32:39","00:32:40","7","57"
Running,2019-09-22 08:10:26,false,"Gloucester Running","3.15","267","00:22:24","152","164","3.0","163","171","7:06","6:24","13","10","1.39","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:09.68","4","0.0","00:22:21","00:22:24","5","32"
Running,2019-09-21 10:09:24,false,"Cambridge Running","5.53","493","00:39:11","160","176","3.8","163","190","7:05","4:41","76","79","1.39","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:30.53","17","0.0","00:39:05","00:49:09","7","69"
Running,2019-09-20 16:27:25,false,"Needham Running","6.06","543","00:45:53","147","173","3.6","163","172","7:34","6:32","154","164","1.31","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:25.10","7","0.0","00:45:50","00:48:27","74","129"
Running,2019-09-19 17:27:36,false,"Needham Running","8.09","704","00:59:51","145","178","3.8","164","174","7:24","6:20","174","188","1.33","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:38.34","9","0.0","00:59:50","01:02:53","79","130"
Running,2019-09-18 17:05:29,false,"Boston Running","10.06","736","01:08:36","143","175","3.1","164","174","6:49","5:44","379","366","1.44","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:23.86","11","0.0","01:08:19","01:15:43","90","247"
